,FTR,HomeTeam,AwayTeam,FTHG,FTAG
487,A,Arsenal,Chelsea,0.0,2.0
488,A,Wolves,Tottenham,0.0,1.0
489,D,Southampton,Man United,1.0,1.0
490,H,Brighton,Watford,2.0,0.0
491,H,Man City,Norwich,5.0,0.0
492,D,Leeds,Everton,2.0,2.0
493,D,Crystal Palace,Brentford,0.0,0.0
494,H,Aston Villa,Newcastle,2.0,0.0
495,H,Liverpool,Burnley,2.0,0.0
496,H,Tottenham,Man City,1.0,0.0
497,A,Newcastle,West Ham,2.0,4.0
498,A,Norwich,Liverpool,0.0,3.0
499,H,Watford,Aston Villa,3.0,2.0
500,H,Leicester,Wolves,1.0,0.0
501,H,Everton,Southampton,3.0,1.0
502,H,Chelsea,Crystal Palace,3.0,0.0
503,A,Burnley,Brighton,1.0,2.0
504,H,Man United,Leeds,5.0,1.0
505,H,Brentford,Arsenal,2.0,0.0
506,A,Wolves,Man United,1.0,2.0
507,H,West Ham,Southampton,3.0,0.0
508,H,Sheffield United,Burnley,1.0,0.0
509,H,Man City,Everton,5.0,0.0
510,H,Liverpool,Crystal Palace,2.0,0.0
511,A,Leicester,Tottenham,2.0,4.0
512,H,Leeds,West Brom,3.0,1.0
513,A,Fulham,Newcastle,0.0,2.0
514,H,Aston Villa,Chelsea,2.0,1.0
515,H,Arsenal,Brighton,2.0,0.0
516,A,West Brom,West Ham,1.0,3.0
517,A,Burnley,Liverpool,0.0,3.0
518,A,Crystal Palace,Arsenal,1.0,3.0
519,A,Tottenham,Aston Villa,1.0,2.0
520,H,Newcastle,Sheffield United,1.0,0.0
521,H,Everton,Wolves,1.0,0.0
522,H,Chelsea,Leicester,2.0,1.0
523,H,Brighton,Man City,3.0,2.0
524,A,Southampton,Leeds,0.0,2.0
525,D,Man United,Fulham,1.0,1.0
526,A,Everton,Sheffield United,0.0,1.0
527,A,West Brom,Liverpool,1.0,2.0
528,H,Tottenham,Wolves,2.0,0.0
529,H,Crystal Palace,Aston Villa,3.0,2.0
530,D,Brighton,West Ham,1.0,1.0
531,H,Southampton,Fulham,3.0,1.0
532,A,Burnley,Leeds,0.0,4.0
533,A,Newcastle,Man City,3.0,4.0
534,A,Man United,Liverpool,2.0,4.0
535,D,Aston Villa,Everton,0.0,0.0
536,A,Chelsea,Arsenal,0.0,1.0
537,H,Southampton,Crystal Palace,3.0,1.0
538,A,Man United,Leicester,1.0,2.0
539,A,Fulham,Burnley,0.0,2.0
540,H,Arsenal,West Brom,3.0,1.0
541,A,West Ham,Everton,0.0,1.0
542,A,Aston Villa,Man United,1.0,3.0
543,H,Wolves,Brighton,2.0,1.0
544,H,Liverpool,Southampton,2.0,0.0
545,A,Man City,Chelsea,1.0,2.0
546,A,Sheffield United,Crystal Palace,0.0,2.0
547,H,Leeds,Tottenham,3.0,1.0
548,A,Leicester,Newcastle,2.0,4.0
549,A,Burnley,West Ham,1.0,2.0
550,D,West Brom,Wolves,1.0,1.0
551,H,Tottenham,Sheffield United,4.0,0.0
552,A,Newcastle,Arsenal,0.0,2.0
553,A,Everton,Aston Villa,1.0,2.0
554,H,Chelsea,Fulham,2.0,0.0
555,H,Brighton,Leeds,2.0,0.0
556,A,Crystal Palace,Man City,0.0,2.0
557,D,Southampton,Leicester,1.0,1.0
558,H,Leicester,Crystal Palace,2.0,1.0
559,D,Aston Villa,West Brom,2.0,2.0
560,D,Leeds,Man United,0.0,0.0
561,A,Wolves,Burnley,0.0,4.0
562,H,Sheffield United,Brighton,1.0,0.0
563,A,West Ham,Chelsea,0.0,1.0
564,D,Liverpool,Newcastle,1.0,1.0
565,A,Arsenal,Everton,0.0,1.0
566,H,Leicester,West Brom,3.0,0.0
567,A,Aston Villa,Man City,1.0,2.0
568,H,Tottenham,Southampton,2.0,1.0
569,D,Chelsea,Brighton,0.0,0.0
570,D,Leeds,Liverpool,1.0,1.0
571,H,Man United,Burnley,3.0,1.0
572,D,Arsenal,Fulham,1.0,1.0
573,H,Wolves,Sheffield United,1.0,0.0
574,H,Newcastle,West Ham,3.0,2.0
575,D,Everton,Tottenham,2.0,2.0
576,D,Brighton,Everton,0.0,0.0
577,H,West Brom,Southampton,3.0,0.0
578,A,Sheffield United,Arsenal,0.0,3.0
579,A,Tottenham,Man United,1.0,3.0
580,H,West Ham,Leicester,3.0,2.0
581,A,Burnley,Newcastle,1.0,2.0
582,A,Crystal Palace,Chelsea,1.0,4.0
583,H,Liverpool,Aston Villa,2.0,1.0
584,A,Man City,Leeds,1.0,2.0
585,A,Fulham,Wolves,0.0,1.0
586,A,Wolves,West Ham,2.0,3.0
587,D,Everton,Crystal Palace,1.0,1.0
588,H,Man United,Brighton,2.0,1.0
589,H,Aston Villa,Fulham,3.0,1.0
590,D,Newcastle,Tottenham,2.0,2.0
591,H,Southampton,Burnley,3.0,2.0
592,A,Arsenal,Liverpool,0.0,3.0
593,A,Leicester,Man City,0.0,2.0
594,H,Leeds,Sheffield United,2.0,1.0
595,A,Chelsea,West Brom,2.0,5.0
596,A,Aston Villa,Tottenham,0.0,2.0
597,D,West Ham,Arsenal,3.0,3.0
598,H,Brighton,Newcastle,3.0,0.0
599,A,Fulham,Leeds,1.0,2.0
600,A,Wolves,Liverpool,0.0,1.0
601,H,Man United,West Ham,1.0,0.0
602,H,Arsenal,Tottenham,2.0,1.0
603,H,Leicester,Sheffield United,5.0,0.0
604,A,Southampton,Brighton,1.0,2.0
605,A,Fulham,Man City,0.0,3.0
