,FTR,HomeTeam,AwayTeam,FTHG,FTAG
497,A,Troyes,Monaco,1.0,2.0
498,H,Marseille,St Etienne,3.0,1.0
499,H,Nice,Bordeaux,4.0,0.0
500,A,Nantes,Lyon,0.0,1.0
501,H,Rennes,Nantes,1.0,0.0
502,D,Strasbourg,Troyes,1.0,1.0
503,H,Montpellier,Lorient,3.0,1.0
504,D,Metz,Reims,1.0,1.0
505,D,Bordeaux,Angers,1.0,1.0
506,D,Lyon,Clermont,3.0,3.0
507,D,St Etienne,Lille,1.0,1.0
508,A,Monaco,Lens,0.0,2.0
509,A,Brest,Paris SG,2.0,4.0
510,D,Marseille,Bordeaux,2.0,2.0
511,D,Lens,St Etienne,2.0,2.0
512,D,Reims,Montpellier,3.0,3.0
513,H,Nantes,Metz,2.0,0.0
514,H,Clermont,Troyes,2.0,0.0
515,D,Brest,Rennes,1.0,1.0
516,H,Angers,Lyon,3.0,0.0
517,H,Paris SG,Strasbourg,4.0,2.0
518,A,Lille,Nice,0.0,4.0
519,H,Lorient,Monaco,1.0,0.0
520,A,Montpellier,Marseille,2.0,3.0
521,D,Metz,Lille,3.0,3.0
522,A,Strasbourg,Angers,0.0,2.0
523,D,St Etienne,Lorient,1.0,1.0
524,D,Nice,Reims,0.0,0.0
525,A,Bordeaux,Clermont,0.0,2.0
526,D,Rennes,Lens,1.0,1.0
527,A,Troyes,Paris SG,1.0,2.0
528,D,Lyon,Brest,1.0,1.0
529,D,Monaco,Nantes,1.0,1.0
530,D,Strasbourg,Lorient,1.0,1.0
531,A,St Etienne,Dijon,0.0,1.0
532,H,Rennes,Nimes,2.0,0.0
533,A,Reims,Bordeaux,1.0,2.0
534,A,Nantes,Montpellier,1.0,2.0
535,D,Metz,Marseille,1.0,1.0
536,A,Lyon,Nice,2.0,3.0
537,D,Lens,Monaco,0.0,0.0
538,A,Brest,Paris SG,0.0,2.0
539,A,Angers,Lille,1.0,2.0
540,H,Paris SG,Reims,4.0,0.0
541,A,Nimes,Lyon,2.0,5.0
542,A,Nice,Strasbourg,0.0,2.0
543,D,Montpellier,Brest,0.0,0.0
544,H,Monaco,Rennes,2.0,1.0
545,H,Marseille,Angers,3.0,2.0
546,H,Lorient,Metz,2.0,1.0
547,D,Lille,St Etienne,0.0,0.0
548,A,Dijon,Nantes,0.0,4.0
549,H,Bordeaux,Lens,3.0,0.0
550,D,Rennes,Paris SG,1.0,1.0
551,A,Reims,Monaco,0.0,1.0
552,A,Strasbourg,Montpellier,2.0,3.0
553,H,Nice,Brest,3.0,2.0
554,A,Metz,Nimes,0.0,3.0
555,H,Angers,Dijon,3.0,0.0
556,H,St Etienne,Marseille,1.0,0.0
557,H,Lyon,Lorient,4.0,1.0
558,H,Nantes,Bordeaux,3.0,0.0
559,A,Lens,Lille,0.0,3.0
560,A,Monaco,Lyon,2.0,3.0
561,A,Montpellier,St Etienne,1.0,2.0
562,D,Nimes,Reims,2.0,2.0
563,H,Lorient,Angers,2.0,0.0
564,A,Dijon,Metz,1.0,5.0
565,A,Brest,Nantes,1.0,4.0
566,H,Bordeaux,Rennes,1.0,0.0
567,H,Lille,Nice,2.0,0.0
568,H,Paris SG,Lens,2.0,1.0
569,D,Marseille,Strasbourg,1.0,1.0
570,A,Lyon,Lille,2.0,3.0
571,A,Angers,Monaco,0.0,1.0
572,A,Strasbourg,Nantes,1.0,2.0
573,H,Rennes,Dijon,5.0,1.0
574,H,Lorient,Bordeaux,4.0,1.0
575,H,Lens,Nimes,2.0,1.0
576,H,Nice,Montpellier,3.0,1.0
577,A,Metz,Paris SG,1.0,3.0
578,A,St Etienne,Brest,1.0,2.0
579,A,Reims,Marseille,1.0,3.0
580,A,Nantes,Lyon,1.0,2.0
581,A,Bordeaux,Monaco,0.0,3.0
582,D,Reims,Metz,0.0,0.0
583,D,Nimes,Strasbourg,1.0,1.0
584,H,Dijon,Nice,2.0,0.0
585,D,Brest,Lens,1.0,1.0
586,H,Paris SG,St Etienne,3.0,2.0
587,H,Marseille,Lorient,3.0,2.0
588,A,Angers,Rennes,0.0,3.0
589,D,Lille,Montpellier,1.0,1.0
590,H,Lyon,Angers,3.0,0.0
591,H,Monaco,Dijon,3.0,0.0
592,H,St Etienne,Bordeaux,4.0,1.0
593,D,Nice,Reims,0.0,0.0
594,H,Lens,Lorient,4.0,1.0
595,D,Brest,Nimes,1.0,1.0
596,H,Rennes,Nantes,1.0,0.0
597,D,Montpellier,Marseille,3.0,3.0
598,A,Strasbourg,Paris SG,1.0,4.0
599,A,Metz,Lille,0.0,2.0
600,H,Marseille,Dijon,2.0,0.0
601,A,Nimes,St Etienne,0.0,2.0
602,D,Reims,Rennes,2.0,2.0
603,A,Nantes,Nice,1.0,2.0
604,H,Lorient,Brest,1.0,0.0
605,A,Bordeaux,Strasbourg,2.0,3.0
606,D,Angers,Montpellier,1.0,1.0
607,D,Lens,Lyon,1.0,1.0
608,A,Paris SG,Lille,0.0,1.0
609,H,Monaco,Metz,4.0,0.0
610,A,Lyon,Paris SG,2.0,4.0
611,A,Lille,Nimes,1.0,2.0
612,D,Nantes,Lorient,1.0,1.0
613,H,Montpellier,Bordeaux,3.0,1.0
614,A,Dijon,Reims,0.0,1.0
615,D,Brest,Angers,0.0,0.0
616,A,Strasbourg,Lens,1.0,2.0
617,H,Nice,Marseille,3.0,0.0
618,A,Metz,Rennes,1.0,3.0
619,A,St Etienne,Monaco,0.0,4.0
620,A,Paris SG,Nantes,1.0,2.0
621,D,Monaco,Lille,0.0,0.0
622,H,Rennes,Strasbourg,1.0,0.0
623,D,Lorient,Nice,1.0,1.0
624,D,Lens,Metz,2.0,2.0
625,A,Dijon,Bordeaux,1.0,3.0
